epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.59295,1.79033,0.34694,0.89796,1.66309,6e-05,6e-05,6e-05
2,4.23356,1.26701,0.67347,1,0.98682,0.000127855,0.000127855,0.000127855
3,5.47176,0.74867,1,1,0.23828,0.0001934,0.0001934,0.0001934
4,6.7362,0.31019,1,1,0.02278,0.000256635,0.000256635,0.000256635
5,7.96194,0.11064,1,1,0.00506,0.00031756,0.00031756,0.00031756
6,9.20398,0.15787,1,1,0.00653,0.000376175,0.000376175,0.000376175
7,10.5359,0.08064,1,1,0.00423,0.00043248,0.00043248,0.00043248
8,11.7259,0.19165,1,1,0.00317,0.000486475,0.000486475,0.000486475
9,12.8555,0.02836,1,1,0.00322,0.00053816,0.00053816,0.00053816
10,14.0016,0.06287,1,1,0.00222,0.000587535,0.000587535,0.000587535
11,15.0521,0.02565,1,1,0.00219,0.0006346,0.0006346,0.0006346
12,16.1502,0.03849,1,1,0.00209,0.000679355,0.000679355,0.000679355
13,17.2389,0.01373,1,1,0.00232,0.0007218,0.0007218,0.0007218
14,18.4181,0.05798,1,1,0.00399,0.000761935,0.000761935,0.000761935
15,19.5463,0.02287,1,1,0.00533,0.000769,0.000769,0.000769
16,20.687,0.00954,1,1,0.00339,0.0007525,0.0007525,0.0007525
17,21.7805,0.02993,1,1,0.00142,0.000736,0.000736,0.000736
18,22.9412,0.00637,1,1,0.00109,0.0007195,0.0007195,0.0007195
19,24.0601,0.01562,1,1,0.00064,0.000703,0.000703,0.000703
20,25.1902,0.06949,1,1,0.00146,0.0006865,0.0006865,0.0006865
21,26.2811,0.00435,1,1,0.0034,0.00067,0.00067,0.00067
